DEP,ARR,AC,TYPE,FT,DIS,DET,ART,CAP,DEL,COST,DEM,TIC,Flight
IAH,YYZ,93,320,612,7409,361,704,151,0,40002,110,489,1
EWR,JAX,216,ERJ,1067,13701,363,1430,37,0,45349,57,2909,2
FRA,RZE,184,CR7,645,7782,366,1011,70,0,32256,76,1090,3
CHS,DFW,118,ER4,702,8519,367,1069,50,0,32173,37,1176,4
AUS,MCO,143,E90,748,9188,369,1117,100,0,40729,83,890,5
BEG,IST,199,738,990,12561,370,1360,189,0,67900,166,826,6
DFW,JAX,123,M80,627,7710,371,998,150,13,41141,100,424,7
BOS,DFW,117,738,598,6876,371,969,189,0,41749,145,430,8
DOH,RUH,189,777,719,8540,373,1092,314,0,64842,229,426,9
BEG,STR,115,319,707,8587,373,1080,123,0,41432,105,745,10
FLL,SAP,49,73W,431,4610,374,930,149,1,28193,73,478,11
CHS,EWR,211,ERJ,437,5139,375,812,37,0,20930,25,1034,12
AUS,IAH,108,320,597,6878,381,978,151,0,37791,108,452,13
DFW,IAH,122,M83,663,7699,381,1044,155,0,41664,118,498,14
BCN,BHX,165,738,954,11943,382,1336,189,0,65057,72,1390,15
IST,YYZ,138,763,624,7479,385,1009,218,0,47751,145,333,16
BOS,IAH,210,739,994,12660,385,1379,178,0,66476,113,558,17
MAN,RZE,42,738,563,6667,387,950,189,286,40788,160,532,18
DOH,IAD,127,777,692,8356,387,1079,314,0,63731,128,853,19
CHS,IAD,109,CRJ,472,5428,397,869,50,5,22895,63,1116,20
EWR,XNA,219,ERJ,1064,13393,398,1462,37,0,44471,24,2100,21
EWR,YYZ,134,E75,746,8839,399,1145,80,0,36942,30,1808,22
DOH,MAA,192,333,377,3820,401,778,300,0,35376,143,325,23
DFW,MCO,124,738,1088,13778,407,1495,189,0,73498,174,951,24
CDG,EDI,22,AR8,816,9806,409,1225,80,0,40178,79,1118,25
FRA,MCO,181,744,550,6170,410,960,416,0,60351,333,369,26
IAH,IST,204,77W,647,7513,420,1067,396,0,67801,298,347,27
IAH,YYZ,137,CRA,624,7409,421,1045,70,0,31051,54,1152,28
IAD,MCO,223,320,722,8534,424,1146,151,0,44685,128,639,29
IAD,IST,203,330,681,8011,432,1113,277,0,57304,219,428,30
BHX,EWR,171,752,354,3689,434,788,200,0,27834,170,419,31
DOH,PEK,193,77W,1022,12736,435,1457,396,0,104260,156,1105,32
EWR,MCO,149,320,462,5353,437,899,151,0,31443,93,1126,33
BCN,GVA,186,320,907,11245,441,1348,151,0,55971,85,1817,34
DOH,IAH,128,777,421,4429,445,866,314,0,40022,221,236,35
IST,PEK,157,77W,1038,13209,445,1483,396,0,107562,342,682,36
FRA,MAA,141,343,589,6941,449,1038,295,0,53191,85,659,37
YOW,YQB,19,DH1,434,4745,451,885,37,0,19807,41,1099,38
DFW,FRA,120,777,678,8068,452,1130,314,0,61993,256,450,39
IAH,PEK,156,773,695,8216,456,1151,368,0,69354,269,360,40
IAD,RUH,195,777,677,7971,457,1134,314,0,61407,275,506,41
BHX,EDI,96,DH4,408,4385,458,866,68,0,21127,83,851,42
EWR,SAL,71,320,1047,13365,460,1507,151,26,64797,132,979,43
EDI,GVA,206,319,475,5380,461,936,123,0,29114,68,434,44
CHS,IAD,212,CRJ,494,5428,462,956,50,0,22895,18,717,45
