DEP,ARR,AC,TYPE,FT,DIS,DET,ART,CAP,DEL,COST,DEM,TIC,Flight
BCN,STR,79,320,574,6543,361,1274,151,0,36397,92,377,1
EWR,FRA,142,744,174,2042,363,537,416,0,30586,200,220,2
BCN,EDI,135,738,772,9224,366,1138,189,0,52550,75,564,3
EWR,JAX,181,ERJ,1098,13701,366,1464,37,0,45349,38,2421,4
IAD,PEK,123,777,720,8640,367,1087,314,0,65446,250,492,5
DOH,PEK,157,77W,1018,12736,370,1388,396,0,104260,213,1422,6
AUS,DFW,99,M80,576,6651,371,947,150,0,36744,92,623,7
BEG,STR,98,319,715,8587,373,1088,123,0,41432,127,917,8
BCN,BHX,134,738,965,11943,373,1338,189,0,65057,136,622,9
BHX,EWR,137,752,353,3689,374,727,200,0,27834,170,404,10
BOS,IAH,175,739,993,12660,377,1370,178,0,66476,157,894,11
PEK,TXL,15,77W,309,3367,380,1173,396,21,38860,195,576,12
IAH,JAX,95,ERJ,747,8852,381,1128,37,0,31520,23,1519,13
BEG,FRA,110,319,881,10994,382,1263,123,0,50678,104,894,14
FRA,PEK,121,773,1010,12953,393,1403,368,0,100896,313,649,15
BOS,EWR,115,E90,357,3798,393,750,100,328,21451,33,446,16
BCN,IEV,43,320,1055,13233,394,1449,151,0,64247,103,695,17
IST,OSS,52,319,549,6630,395,944,123,0,33916,41,1048,18
DUB,RZE,40,320,591,7170,400,912,151,0,39007,89,668,19
EWR,GVA,152,763,706,8506,401,1107,218,0,52818,63,797,20
DOH,GVA,127,320,505,5669,405,910,151,0,32758,81,1042,21
DFW,FRA,103,777,681,8068,405,1086,314,0,61993,239,406,22
DOH,IST,155,333,377,4316,406,783,300,0,38291,241,288,23
AUS,EWR,171,738,777,9275,408,1185,189,0,52785,140,579,24
GUA,IAD,59,738,1064,13352,411,1475,189,0,71539,168,923,25
FCO,FRA,67,319,584,6837,412,996,123,0,34711,126,782,26
DTW,JAX,29,CR9,616,7331,412,1028,76,0,31457,44,718,27
IAH,SAP,190,738,728,8802,418,1146,189,0,50609,125,425,28
IAH,PEK,124,773,701,8216,420,1121,368,0,69354,282,414,29
LTN,RZE,42,738,939,11505,421,1360,189,0,63042,156,748,30
IAD,IST,167,330,677,8011,422,1099,277,7,57304,229,463,31
CHS,TPA,35,73W,511,6086,422,933,149,0,34304,84,1123,32
AUS,IAD,172,CR7,678,8068,422,1100,70,0,33181,58,990,33
DFW,JAX,106,M80,656,7710,424,1080,150,0,41141,64,1190,34
BDA,BOS,128,738,1045,13436,432,1477,189,20,71925,165,864,35
AUS,MCO,21,E90,771,9188,440,1211,100,0,40729,95,970,36
FRA,STR,150,319,653,7961,443,1096,123,0,39028,96,616,37
FRA,MAA,112,343,582,6941,444,1026,295,0,53191,239,394,38
CHS,IAD,177,CRJ,497,5428,446,943,50,0,22895,59,1046,39
CHS,DFW,101,ER4,684,8519,449,1133,50,0,32173,28,1098,40
IST,PEK,125,77W,1054,13209,451,1505,396,0,107562,294,491,41
EDI,EWR,140,752,705,8452,454,1159,200,0,50346,176,625,42
IST,RUH,86,320,741,9178,458,1199,151,0,47366,107,619,43
DOH,IAD,108,777,710,8356,458,1168,314,0,63731,74,304,44
MPL,NDR,1,320,234,2406,462,696,151,0,19174,147,361,45
BOS,JAX,117,E90,1002,12484,462,1464,100,0,52517,41,2119,46
GVA,IAD,153,763,900,11288,463,1363,218,0,66543,86,658,47
SAP,TGU,24,SF3,734,9174,465,1199,36,0,32307,12,1444,48
IAD,RUH,159,777,668,7971,470,1138,314,0,61407,144,931,49
GVA,STR,83,763,930,11758,475,1376,218,0,68861,165,638,50
GVA,IST,166,320,902,11503,476,1378,151,0,57045,97,622,51
FRA,IAD,144,333,1052,13142,477,1529,300,0,90157,269,788,52
IAD,JAX,187,ERJ,494,5448,478,972,37,0,21812,14,2296,53
DEN,IAH,34,319,538,6537,488,1026,123,0,33558,78,1402,54
BOM,MAA,6,744,139,1100,490,994,416,0,23794,308,215,55
